customer_id,signup_date,true_lifetime_days
C00018,2025-05-25,30
C00034,2025-04-03,105
C00078,2025-03-26,57
C00083,2025-02-05,54
C00088,2025-07-20,31
C00098,2025-07-21,51
C00113,2025-07-25,44
C00176,2025-08-12,108
C00203,2025-06-02,30
C00245,2025-08-26,33
C00319,2025-01-14,30
C00331,2025-07-05,30
C00349,2025-11-13,70
C00364,2025-07-06,30
C00369,2025-06-16,30
C00372,2025-10-10,30
C00463,2025-08-24,30
C00466,2025-09-29,68
C00467,2025-06-18,30
C00477,2025-10-29,208
C00500,2025-07-05,56
C00506,2025-11-20,104
C00519,2025-09-18,45
C00551,2025-03-25,124
C00571,2025-02-14,31
C00591,2025-05-27,147
C00595,2025-07-22,91
C00632,2025-05-31,40
C00673,2025-08-20,30
C00781,2025-02-05,63
C00800,2025-06-06,37
C00826,2025-05-15,30
C00848,2025-03-14,30
C00885,2025-01-02,40
C00889,2025-10-02,64
C00909,2025-07-14,35
C00977,2025-07-11,30
C01008,2025-02-03,30
C01041,2025-07-15,63
C01072,2025-01-28,296
C01147,2025-01-24,84
C01169,2025-06-04,84
C01175,2025-06-25,30
C01205,2025-07-28,31
C01238,2025-08-08,50
C01249,2025-06-13,30
C01269,2025-02-11,105
C01285,2025-04-20,108
C01287,2025-05-16,51
C01290,2025-05-16,85
C01313,2025-10-07,30
C01349,2025-09-12,30
C01375,2025-03-27,30
C01431,2025-04-29,30
C01453,2025-03-09,168
C01551,2025-05-21,41
C01612,2025-05-09,30
C01646,2025-03-01,30
C01696,2025-05-13,30
C01731,2025-01-30,117
C01739,2025-07-25,259
C01752,2025-04-27,40
C01753,2025-11-13,47
C01771,2025-07-25,70
C01772,2025-04-10,30
C01829,2025-06-21,38
C01866,2025-10-25,91
C01949,2025-02-24,118
C02004,2025-04-06,30
C02028,2025-10-15,30
C02053,2025-06-26,34
C02075,2025-04-29,39
C02098,2025-04-17,30
C02114,2025-08-09,39
C02120,2025-02-19,336
C02189,2025-07-26,87
C02191,2025-03-02,139
C02206,2025-11-08,30
C02226,2025-03-24,36
C02227,2025-07-26,59
C02233,2025-07-26,30
C02304,2025-04-20,293
C02336,2025-09-07,58
C02337,2025-08-24,30
C02388,2025-04-21,32
C02409,2025-10-25,67
C02422,2025-05-14,45
C02434,2025-10-14,30
C02463,2025-01-17,30
C02493,2025-11-09,33
C02548,2025-08-07,251
C02581,2025-05-25,111
C02585,2025-03-18,37
C02587,2025-04-16,30
C02588,2025-02-11,136
C02613,2025-04-30,131
C02645,2025-09-07,62
C02697,2025-07-13,57
C02701,2025-05-03,65
C02721,2025-05-20,57
C02767,2025-08-23,32
C02778,2025-07-02,30
C02807,2025-03-05,94
C02809,2025-08-17,30
C02927,2025-02-05,365
C02940,2025-10-26,35
C02963,2025-02-23,57
C02986,2025-01-27,30
